Montero,10.0
Trinidad,8.108892041914139e-06
Quillacollo,5.857915689586056e-09
Riberalta,4.362587290140034e-15
Villa Tunari,9.98486864959478e-16
Sacaba,1.9357561271007734e-18
Tarija,1.0430961066763616e-19
Puerto Villarroel,1.6268497850765174e-20
Cobija,1.4284786189882142e-20
Potosí,2.6697955322221167e-21
Villamontes,1.5489319502457784e-21
Guayaramerín,4.621567482846863e-22
Camiri,2.3797650635978727e-22
Tiquipaya,1.1106309295037799e-22
Viacha,5.985244165402341e-23
Bermejo,4.749138809034057e-23
Llallagua,4.471240112162438e-23
Villazón,4.441431588404703e-23
Camiri,4.338729743456098e-23
Uyuni,3.28782424957216e-23
San Borja,1.741954356616974e-23
San Ignacio de Velasco,1.322479367572588e-23
Tupiza,1.1695134725132617e-23
Patacamaya,1.0979559116645365e-23
Puerto Suárez,8.791179506994304e-24
Capinota,4.6363611209930115e-24
San José de Chiquitos,2.4870420505759166e-24
Warnes,2.4490267626097878e-24
Vallegrande,2.4247183036584355e-24
Mapiri,2.2463223633285917e-24
Portachuelo,2.186637501928768e-24
Comarapa,1.944922189604472e-24
Punata,1.471259226530488e-24
Villa Yapacaní,1.4192528030431062e-24
Ascensión,1.3669299458640158e-24
Vinto,1.2894998883822008e-24
Chulumani,1.0277503165674928e-24
Santa Ana de Yacuma,9.326988126695874e-25
Rurrenabaque,7.36422202249441e-25
Torotoro,5.600848303372948e-25
Puerto Quijarro,5.4245527297093e-25
Roboré,5.0105677252242145e-25
Challapata,4.085694188374682e-25
Achacachi,3.8613069297794347e-25
Aiquile,2.800690844180647e-25
Reyes,2.797671922903432e-25
Charagua,2.461271825610784e-25
Cliza,2.3351089748836395e-25
San Ramón,2.313271354168881e-25
San Carlos,2.2466450995644282e-25
San Matías,2.246166281014147e-25
Uncia,1.9594794270364526e-25
Betanzos,1.6342853171019505e-25
Camargo,1.5205554337043538e-25
San Javier,1.4308214374815328e-25
Apolo,1.4245871044739723e-25
Quime,1.3826016291727694e-25
Sicasica,1.3226013869017191e-25
Magdalena,1.2212173776095676e-25
San Lorenzo,1.1144255809939726e-25
Samaipata,1.0976445988068633e-25
Padilla,1.0962957164573643e-25
Entre Ríos,1.0448169186755663e-25
Tarabuco,9.914271381764163e-26
Baures,9.902156317721264e-26
Coroico,9.696600092131621e-26
Sorata,9.497473380576757e-26
Corocoro,8.876885634685564e-26
Cuevo,8.444295891486553e-26
San Rafael,7.734119378526843e-26
Puerto Acosta,7.613863539297886e-26
Sabaya,6.819998491212829e-26
Llica,6.792831888560777e-26
Charaña,6.327923799650937e-26
Piso Firme,6.172758305790679e-26
Puerto Heath,6.09729244820773e-26
Villa Martín Colchak,6.09729244820773e-26
Oruro,3.650446414701612e-27
Oruro,2.2274956669344337e-28
Sucre,3.1417788944842583e-30
Cochabamba,1.2990389134296855e-36
La Paz,2.1120885411640577e-40
Santa Cruz,1.7161707745362386e-40
